Origine: nom UO;Bassin de collecte;Acteur: nom UO;Type de transaction;Sous type de transaction;Contenant;Prix de base;Indice;Date prix de base;Date de début;Date de fin
;Saint-Brieuc;TRSP2123-LES RECYCLEURS BRETONS - PLOUIGNEAU;Transport;Retrait;Benne 30m3 fermée;180 €;Pas de variation;01/08/2020;31/01/2021;
;Saint-Brieuc;TRSP2123-LES RECYCLEURS BRETONS - PLOUIGNEAU;Transport;Retrait;Benne 30m3;180 €;Pas de variation;01/08/2020;31/01/2021;
;Vannes;TRSP2123-LES RECYCLEURS BRETONS - CAUDAN;Transport;Retrait;Benne 30m3 UO;160 €;Pas de variation;01/08/2020;31/01/2021;
;Vannes;TRSP2123-LES RECYCLEURS BRETONS - CAUDAN;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);185 €;Pas de variation;01/08/2020;31/01/2021;
;Vannes;TRSP2123-LES RECYCLEURS BRETONS - CAUDAN;Transport;Retrait;Benne 30m3 fermée;155 €;Pas de variation;01/08/2020;31/01/2021;
;Vannes;TRSP2123-LES RECYCLEURS BRETONS - CAUDAN;Transport;Retrait;Benne 30m3;155 €;Pas de variation;01/08/2020;31/01/2021;
;Pontivy;TRSP2123-LES RECYCLEURS BRETONS - CAUDAN;Transport;Retrait;Benne 30m3 UO;160 €;Pas de variation;01/08/2020;31/01/2021;
;Pontivy;TRSP2123-LES RECYCLEURS BRETONS - CAUDAN;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);185 €;Pas de variation;01/08/2020;31/01/2021;
;Pontivy;TRSP2123-LES RECYCLEURS BRETONS - CAUDAN;Transport;Retrait;Benne 30m3 fermée;155 €;Pas de variation;01/08/2020;31/01/2021;
;Pontivy;TRSP2123-LES RECYCLEURS BRETONS - CAUDAN;Transport;Retrait;Benne 30m3;155 €;Pas de variation;01/08/2020;31/01/2021;
;Argentan;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;Benne 30m3 UO;225 €;Pas de variation;01/08/2020;31/01/2021;
;Argentan;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);175 €;Pas de variation;01/08/2020;31/01/2021;
;Argentan;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;Benne 30m3 fermée;180 €;Pas de variation;01/08/2020;31/01/2021;
;Argentan;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;Benne 30m3;175 €;Pas de variation;01/08/2020;31/01/2021;
;Cherbourg-Octeville;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;Benne 30m3 UO;225 €;Pas de variation;01/08/2020;31/01/2021;
;Cherbourg-Octeville;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);175 €;Pas de variation;01/08/2020;31/01/2021;
;Cherbourg-Octeville;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;Benne 30m3 fermée;180 €;Pas de variation;01/08/2020;31/01/2021;
;Cherbourg-Octeville;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;Benne 30m3;175 €;Pas de variation;01/08/2020;31/01/2021;
;Flers;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;Benne 30m3 UO;200 €;Pas de variation;01/08/2020;31/01/2021;
;Flers;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);200 €;Pas de variation;01/08/2020;31/01/2021;
;Flers;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;Benne 30m3 fermée;155 €;Pas de variation;01/08/2020;31/01/2021;
;Flers;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;Benne 30m3;150 €;Pas de variation;01/08/2020;31/01/2021;
;Bayeux;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;Benne 30m3 UO;200 €;Pas de variation;01/08/2020;31/01/2021;
;Bayeux;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);200 €;Pas de variation;01/08/2020;31/01/2021;
;Bayeux;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;Benne 30m3 fermée;155 €;Pas de variation;01/08/2020;31/01/2021;
;Bayeux;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;Benne 30m3;150 €;Pas de variation;01/08/2020;31/01/2021;
;Caen;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;Benne 30m3 UO;200 €;Pas de variation;01/08/2020;31/01/2021;
;Caen;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);200 €;Pas de variation;01/08/2020;31/01/2021;
;Caen;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;Benne 30m3 fermée;155 €;Pas de variation;01/08/2020;31/01/2021;
;Caen;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;Benne 30m3;150 €;Pas de variation;01/08/2020;31/01/2021;
;Saint-Lô;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;Benne 30m3 UO;130 €;Pas de variation;01/08/2020;31/01/2021;
;Saint-Lô;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);120 €;Pas de variation;01/08/2020;31/01/2021;
;Saint-Lô;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;Benne 30m3 fermée;85 €;Pas de variation;01/08/2020;31/01/2021;
;Saint-Lô;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;Benne 30m3;80 €;Pas de variation;01/08/2020;31/01/2021;
;Vire;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;Benne 30m3 UO;130 €;Pas de variation;01/08/2020;31/01/2021;
;Vire;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);120 €;Pas de variation;01/08/2020;31/01/2021;
;Vire;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;Benne 30m3 fermée;85 €;Pas de variation;01/08/2020;31/01/2021;
;Vire;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;Benne 30m3;80 €;Pas de variation;01/08/2020;31/01/2021;
;Granville;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;Benne 30m3 UO;130 €;Pas de variation;01/08/2020;31/01/2021;
;Granville;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);120 €;Pas de variation;01/08/2020;31/01/2021;
;Granville;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;Benne 30m3 fermée;85 €;Pas de variation;01/08/2020;31/01/2021;
;Granville;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;Benne 30m3;80 €;Pas de variation;01/08/2020;31/01/2021;
;Coutances;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;Benne 30m3 UO;130 €;Pas de variation;01/08/2020;31/01/2021;
;Coutances;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);120 €;Pas de variation;01/08/2020;31/01/2021;
;Coutances;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;Benne 30m3 fermée;85 €;Pas de variation;01/08/2020;31/01/2021;
;Coutances;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;Benne 30m3;80 €;Pas de variation;01/08/2020;31/01/2021;
;Avranches;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;Benne 30m3 UO;130 €;Pas de variation;01/08/2020;31/01/2021;
;Avranches;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);120 €;Pas de variation;01/08/2020;31/01/2021;
;Avranches;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;Benne 30m3 fermée;85 €;Pas de variation;01/08/2020;31/01/2021;
;Avranches;TRSP2123-SAS LES CHAMPS JOUAULT;Transport;Retrait;Benne 30m3;80 €;Pas de variation;01/08/2020;31/01/2021;
;Pontarlier;TRSP2123-CUINET SOLUTIONS DECHETS;Transport;Retrait;Benne 30m3 UO;175 €;Pas de variation;01/08/2020;31/01/2021;
;Pontarlier;TRSP2123-CUINET SOLUTIONS DECHETS;Transport;Retrait;Benne 30m3;175 €;Pas de variation;01/08/2020;31/01/2021;
;Thionville;TRSP2123-CITRAVAL;Transport;Retrait;Benne 30m3 UO;110 €;Pas de variation;01/08/2020;31/01/2021;
;Thionville;TRSP2123-CITRAVAL;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);170 €;Pas de variation;01/08/2020;31/01/2021;
;Thionville;TRSP2123-CITRAVAL;Transport;Retrait;Benne 30m3 fermée;110 €;Pas de variation;01/08/2020;31/01/2021;
;Thionville;TRSP2123-CITRAVAL;Transport;Retrait;Benne 30m3;110 €;Pas de variation;01/08/2020;31/01/2021;
;Sarreguemines;TRSP2123-CITRAVAL;Transport;Retrait;Benne 30m3 UO;390 €;Pas de variation;01/08/2020;31/01/2021;
;Sarreguemines;TRSP2123-CITRAVAL;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);470 €;Pas de variation;01/08/2020;31/01/2021;
;Sarreguemines;TRSP2123-CITRAVAL;Transport;Retrait;Benne 30m3 fermée;390 €;Pas de variation;01/08/2020;31/01/2021;
;Sarreguemines;TRSP2123-CITRAVAL;Transport;Retrait;Benne 30m3;390 €;Pas de variation;01/08/2020;31/01/2021;
;Neufchâteau;TRSP2123-CITRAVAL;Transport;Retrait;Benne 30m3 UO;240 €;Pas de variation;01/08/2020;31/01/2021;
;Neufchâteau;TRSP2123-CITRAVAL;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);290 €;Pas de variation;01/08/2020;31/01/2021;
;Neufchâteau;TRSP2123-CITRAVAL;Transport;Retrait;Benne 30m3 fermée;240 €;Pas de variation;01/08/2020;31/01/2021;
;Neufchâteau;TRSP2123-CITRAVAL;Transport;Retrait;Benne 30m3;240 €;Pas de variation;01/08/2020;31/01/2021;
;Nancy;TRSP2123-CITRAVAL;Transport;Retrait;Benne 30m3 UO;105 €;Pas de variation;01/08/2020;31/01/2021;
;Nancy;TRSP2123-CITRAVAL;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);185 €;Pas de variation;01/08/2020;31/01/2021;
;Nancy;TRSP2123-CITRAVAL;Transport;Retrait;Benne 30m3 fermée;105 €;Pas de variation;01/08/2020;31/01/2021;
;Nancy;TRSP2123-CITRAVAL;Transport;Retrait;Benne 30m3;105 €;Pas de variation;01/08/2020;31/01/2021;
;Metz;TRSP2123-CITRAVAL;Transport;Retrait;Benne 30m3 UO;125 €;Pas de variation;01/08/2020;31/01/2021;
;Metz;TRSP2123-CITRAVAL;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);160 €;Pas de variation;01/08/2020;31/01/2021;
;Metz;TRSP2123-CITRAVAL;Transport;Retrait;Benne 30m3 fermée;125 €;Pas de variation;01/08/2020;31/01/2021;
;Metz;TRSP2123-CITRAVAL;Transport;Retrait;Benne 30m3;125 €;Pas de variation;01/08/2020;31/01/2021;
;Lunéville;TRSP2123-CITRAVAL;Transport;Retrait;Benne 30m3 UO;210 €;Pas de variation;01/08/2020;31/01/2021;
;Lunéville;TRSP2123-CITRAVAL;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);260 €;Pas de variation;01/08/2020;31/01/2021;
;Lunéville;TRSP2123-CITRAVAL;Transport;Retrait;Benne 30m3 fermée;210 €;Pas de variation;01/08/2020;31/01/2021;
;Lunéville;TRSP2123-CITRAVAL;Transport;Retrait;Benne 30m3;210 €;Pas de variation;01/08/2020;31/01/2021;
;Longwy;TRSP2123-CITRAVAL;Transport;Retrait;Benne 30m3 UO;160 €;Pas de variation;01/08/2020;31/01/2021;
;Longwy;TRSP2123-CITRAVAL;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);195 €;Pas de variation;01/08/2020;31/01/2021;
;Longwy;TRSP2123-CITRAVAL;Transport;Retrait;Benne 30m3 fermée;180 €;Pas de variation;01/08/2020;31/01/2021;
;Longwy;TRSP2123-CITRAVAL;Transport;Retrait;Benne 30m3;180 €;Pas de variation;01/08/2020;31/01/2021;
;Épinal;TRSP2123-CITRAVAL;Transport;Retrait;Benne 30m3 UO;290 €;Pas de variation;01/08/2020;31/01/2021;
;Épinal;TRSP2123-CITRAVAL;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);350 €;Pas de variation;01/08/2020;31/01/2021;
;Épinal;TRSP2123-CITRAVAL;Transport;Retrait;Benne 30m3 fermée;290 €;Pas de variation;01/08/2020;31/01/2021;
;Épinal;TRSP2123-CITRAVAL;Transport;Retrait;Benne 30m3;290 €;Pas de variation;01/08/2020;31/01/2021;
;Commercy;TRSP2123-CITRAVAL;Transport;Retrait;Benne 30m3 UO;180 €;Pas de variation;01/08/2020;31/01/2021;
;Commercy;TRSP2123-CITRAVAL;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);220 €;Pas de variation;01/08/2020;31/01/2021;
;Commercy;TRSP2123-CITRAVAL;Transport;Retrait;Benne 30m3 fermée;180 €;Pas de variation;01/08/2020;31/01/2021;
;Commercy;TRSP2123-CITRAVAL;Transport;Retrait;Benne 30m3;180 €;Pas de variation;01/08/2020;31/01/2021;
;Saumur;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3 UO;171 €;Pas de variation;01/08/2020;31/01/2021;
;Saumur;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);216 €;Pas de variation;01/08/2020;31/01/2021;
;Saumur;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3 fermée;343 €;Pas de variation;01/08/2020;31/01/2021;
;Saumur;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3;171 €;Pas de variation;01/08/2020;31/01/2021;
;Cholet;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3 UO;89 €;Pas de variation;01/08/2020;31/01/2021;
;Cholet;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);126 €;Pas de variation;01/08/2020;31/01/2021;
;Cholet;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3 fermée;100 €;Pas de variation;01/08/2020;31/01/2021;
;Cholet;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3;89 €;Pas de variation;01/08/2020;31/01/2021;
;Angers;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3 UO;99 €;Pas de variation;01/08/2020;31/01/2021;
;Angers;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);143 €;Pas de variation;01/08/2020;31/01/2021;
;Angers;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3 fermée;107 €;Pas de variation;01/08/2020;31/01/2021;
;Angers;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3;99 €;Pas de variation;01/08/2020;31/01/2021;
;Châteaubriant;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3 UO;148 €;Pas de variation;01/08/2020;31/01/2021;
;Châteaubriant;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);192 €;Pas de variation;01/08/2020;31/01/2021;
;Châteaubriant;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3 fermée;154 €;Pas de variation;01/08/2020;31/01/2021;
;Châteaubriant;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3;148 €;Pas de variation;01/08/2020;31/01/2021;
;Ancenis;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3 UO;108 €;Pas de variation;01/08/2020;31/01/2021;
;Ancenis;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);147 €;Pas de variation;01/08/2020;31/01/2021;
;Ancenis;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3 fermée;153 €;Pas de variation;01/08/2020;31/01/2021;
;Ancenis;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3;108 €;Pas de variation;01/08/2020;31/01/2021;
;Saint-Nazaire;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3 UO;155 €;Pas de variation;01/08/2020;31/01/2021;
;Saint-Nazaire;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);199 €;Pas de variation;01/08/2020;31/01/2021;
;Saint-Nazaire;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3 fermée;210 €;Pas de variation;01/08/2020;31/01/2021;
;Saint-Nazaire;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3;155 €;Pas de variation;01/08/2020;31/01/2021;
;Nantes;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3 UO;118 €;Pas de variation;01/08/2020;31/01/2021;
;Nantes;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);157 €;Pas de variation;01/08/2020;31/01/2021;
;Nantes;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3 fermée;126 €;Pas de variation;01/08/2020;31/01/2021;
;Nantes;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3;118 €;Pas de variation;01/08/2020;31/01/2021;
;Saint-Malo;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3 UO;231 €;Pas de variation;01/08/2020;31/01/2021;
;Saint-Malo;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);285 €;Pas de variation;01/08/2020;31/01/2021;
;Saint-Malo;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3 fermée;238 €;Pas de variation;01/08/2020;31/01/2021;
;Saint-Malo;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3;231 €;Pas de variation;01/08/2020;31/01/2021;
;Fougères;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3 UO;166 €;Pas de variation;01/08/2020;31/01/2021;
;Fougères;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);212 €;Pas de variation;01/08/2020;31/01/2021;
;Fougères;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3 fermée;172 €;Pas de variation;01/08/2020;31/01/2021;
;Fougères;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3;166 €;Pas de variation;01/08/2020;31/01/2021;
;Redon;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3 UO;195 €;Pas de variation;01/08/2020;31/01/2021;
;Redon;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);245 €;Pas de variation;01/08/2020;31/01/2021;
;Redon;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3 fermée;202 €;Pas de variation;01/08/2020;31/01/2021;
;Redon;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3;195 €;Pas de variation;01/08/2020;31/01/2021;
;Rennes;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3 UO;118 €;Pas de variation;01/08/2020;31/01/2021;
;Rennes;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);157 €;Pas de variation;01/08/2020;31/01/2021;
;Rennes;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3 fermée;126 €;Pas de variation;01/08/2020;31/01/2021;
;Rennes;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3;118 €;Pas de variation;01/08/2020;31/01/2021;
;Pauillac;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3 UO;203 €;Pas de variation;01/08/2020;31/01/2021;
;Pauillac;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);253 €;Pas de variation;01/08/2020;31/01/2021;
;Pauillac;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3 fermée;210 €;Pas de variation;01/08/2020;31/01/2021;
;Pauillac;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3;203 €;Pas de variation;01/08/2020;31/01/2021;
;Libourne;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3 UO;113 €;Pas de variation;01/08/2020;31/01/2021;
;Libourne;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);154 €;Pas de variation;01/08/2020;31/01/2021;
;Libourne;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3 fermée;120 €;Pas de variation;01/08/2020;31/01/2021;
;Libourne;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3;113 €;Pas de variation;01/08/2020;31/01/2021;
;La Teste-de-Buch;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3 UO;215 €;Pas de variation;01/08/2020;31/01/2021;
;La Teste-de-Buch;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);267 €;Pas de variation;01/08/2020;31/01/2021;
;La Teste-de-Buch;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3 fermée;222 €;Pas de variation;01/08/2020;31/01/2021;
;La Teste-de-Buch;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3;215 €;Pas de variation;01/08/2020;31/01/2021;
;Bordeaux;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3 UO;113 €;Pas de variation;01/08/2020;31/01/2021;
;Bordeaux;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);154 €;Pas de variation;01/08/2020;31/01/2021;
;Bordeaux;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3 fermée;120 €;Pas de variation;01/08/2020;31/01/2021;
;Bordeaux;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3;113 €;Pas de variation;01/08/2020;31/01/2021;
;Dinan;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3 UO;194 €;Pas de variation;01/08/2020;31/01/2021;
;Dinan;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);243 €;Pas de variation;01/08/2020;31/01/2021;
;Dinan;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3 fermée;200 €;Pas de variation;01/08/2020;31/01/2021;
;Dinan;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3;194 €;Pas de variation;01/08/2020;31/01/2021;
;Jonzac - Barbezieux-Saint-Hilaire;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3 UO;255 €;Pas de variation;01/08/2020;31/01/2021;
;Jonzac - Barbezieux-Saint-Hilaire;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);311 €;Pas de variation;01/08/2020;31/01/2021;
;Jonzac - Barbezieux-Saint-Hilaire;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3 fermée;286 €;Pas de variation;01/08/2020;31/01/2021;
;Jonzac - Barbezieux-Saint-Hilaire;TRSP2123-BRANGEON TRANSPORTS ET LOGISTIQUE ;Transport;Retrait;Benne 30m3;255 €;Pas de variation;01/08/2020;31/01/2021;
;Cergy;TRSP2123-PAPREC GRAND IDF -  Belloy-en-France;Transport;Retrait;Benne 30m3 UO;135 €;Pas de variation;01/08/2020;31/01/2021;
;Cergy;TRSP2123-PAPREC GRAND IDF -  Belloy-en-France;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);271 €;Pas de variation;01/08/2020;31/01/2021;
;Cergy;TRSP2123-PAPREC GRAND IDF -  Belloy-en-France;Transport;Retrait;Benne 30m3 fermée;176 €;Pas de variation;01/08/2020;31/01/2021;
;Cergy;TRSP2123-PAPREC GRAND IDF -  Belloy-en-France;Transport;Retrait;Benne 30m3;151 €;Pas de variation;01/08/2020;31/01/2021;
;Roissy - Sud Picardie / B;TRSP2123-PAPREC GRAND IDF -  Le Blanc Mesnil;Transport;Retrait;Benne 30m3 UO;149 €;Pas de variation;01/08/2020;31/01/2021;
;Roissy - Sud Picardie / B;TRSP2123-PAPREC GRAND IDF -  Le Blanc Mesnil;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);227 €;Pas de variation;01/08/2020;31/01/2021;
;Roissy - Sud Picardie / B;TRSP2123-PAPREC GRAND IDF -  Le Blanc Mesnil;Transport;Retrait;Benne 30m3 fermée;151 €;Pas de variation;01/08/2020;31/01/2021;
;Roissy - Sud Picardie / B;TRSP2123-PAPREC GRAND IDF -  Le Blanc Mesnil;Transport;Retrait;Benne 30m3;151 €;Pas de variation;01/08/2020;31/01/2021;
;Provins;TRSP2123-VEOLIA AUBINE - DAMMARIE LES LYS;Transport;Retrait;Benne 30m3 UO;390 €;Pas de variation;01/08/2020;31/01/2021;
;Provins;TRSP2123-VEOLIA AUBINE - DAMMARIE LES LYS;Transport;Retrait;bi-benne 30m3 (benne duo, camion remorque);675 €;Pas de variation;01/08/2020;31/01/2021;
;Provins;TRSP2123-VEOLIA AUBINE - DAMMARIE LES LYS;Transport;Retrait;Benne 30m3;390 €;Pas de variation;01/08/2020;31/01/2021;
